state,year,accidents
Andhra Pradesh,2019,21992.0
Arunachal Pradesh,2019,237.0
Assam,2019,8350.0
Bihar,2019,10007.0
Chhattisgarh,2019,13899.0
Goa,2019,3440.0
Gujarat,2019,17046.0
Haryana,2019,10944.0
Himachal Pradesh,2019,2873.0
Jharkhand,2019,5217.0
Karnataka,2019,40658.0
Kerala,2019,41111.0
Madhya Pradesh,2019,50669.0
Maharashtra,2019,32925.0
Manipur,2019,672.0
Meghalaya,2019,482.0
Mizoram,2019,62.0
Nagaland,2019,358.0
Odisha,2019,11064.0
Punjab,2019,6348.0
Rajasthan,2019,23480.0
Sikkim,2019,162.0
Tamil Nadu,2019,62685.0
Telangana,2019,21570.0
Tripura,2019,655.0
Uttarakhand,2019,1352.0
Uttar Pradesh,2019,42572.0
West Bengal,2019,12658.0
Andaman & Nicobar Islands,2019,230.0
Chandigarh,2019,305.0
Dadra & Nagar Haveli*,2019,68.0
Daman & Diu,2019,69.0
Delhi,2019,5610.0
Lakshadweep,2019,1.0
Puducherry,2019,1392.0
Andhra Pradesh,2020,19509.0
Arunachal Pradesh,2020,134.0
Assam,2020,6595.0
Bihar,2020,8639.0
Chhattisgarh,2020,11656.0
Goa,2020,2375.0
Gujarat,2020,13398.0
Haryana,2020,9431.0
Himachal Pradesh,2020,2239.0
Jharkhand,2020,4405.0
Karnataka,2020,34178.0
Kerala,2020,27877.0
Madhya Pradesh,2020,45266.0
Maharashtra,2020,24971.0
Manipur,2020,432.0
Meghalaya,2020,214.0
Mizoram,2020,53.0
Nagaland,2020,500.0
Odisha,2020,9817.0
Punjab,2020,5203.0
Rajasthan,2020,19114.0
Sikkim,2020,138.0
Tamil Nadu,2020,49844.0
Telangana,2020,19172.0
Tripura,2020,466.0
Uttarakhand,2020,1041.0
Uttar Pradesh,2020,34243.0
West Bengal,2020,10863.0
Andaman & Nicobar Islands,2020,141.0
Chandigarh,2020,159.0
Dadra & Nagar Haveli*,2020,100.0
Delhi,2020,4178.0
Lakshadweep,2020,1.0
Puducherry,2020,969.0
Andhra Pradesh,2021,21556.0
Arunachal Pradesh,2021,283.0
Assam,2021,7411.0
Bihar,2021,9553.0
Chhattisgarh,2021,12375.0
Goa,2021,2849.0
Gujarat,2021,15186.0
Haryana,2021,9933.0
Himachal Pradesh,2021,2404.0
Jharkhand,2021,4728.0
Karnataka,2021,34647.0
Kerala,2021,33296.0
Madhya Pradesh,2021,48877.0
Maharashtra,2021,29477.0
Manipur,2021,366.0
Meghalaya,2021,245.0
Mizoram,2021,69.0
Nagaland,2021,746.0
Odisha,2021,10983.0
Punjab,2021,5871.0
Rajasthan,2021,20951.0
Sikkim,2021,155.0
Tamil Nadu,2021,55682.0
Telangana,2021,21315.0
Tripura,2021,479.0
Uttarakhand,2021,1405.0
Uttar Pradesh,2021,37729.0
West Bengal,2021,11937.0
Andaman & Nicobar Islands,2021,115.0
Chandigarh,2021,208.0
Dadra & Nagar Haveli*,2021,140.0
Delhi,2021,4720.0
Ladakh,2021,236.0
Lakshadweep,2021,4.0
Puducherry,2021,1049.0
Andhra Pradesh,2022,21249.0
Arunachal Pradesh,2022,227.0
Assam,2022,7023.0
Bihar,2022,10801.0
Chhattisgarh,2022,13279.0
Goa,2022,3011.0
Gujarat,2022,15751.0
Haryana,2022,10429.0
Himachal Pradesh,2022,2597.0
Jharkhand,2022,5175.0
Karnataka,2022,39762.0
Kerala,2022,43910.0
Madhya Pradesh,2022,54432.0
Maharashtra,2022,33383.0
Manipur,2022,508.0
Meghalaya,2022,246.0
Mizoram,2022,133.0
Nagaland,2022,489.0
Odisha,2022,11663.0
Punjab,2022,6138.0
Rajasthan,2022,23614.0
Sikkim,2022,211.0
Tamil Nadu,2022,64105.0
Telangana,2022,21619.0
Tripura,2022,575.0
Uttarakhand,2022,1674.0
Uttar Pradesh,2022,41746.0
West Bengal,2022,13686.0
Andaman & Nicobar Islands,2022,141.0
Chandigarh,2022,237.0
Dadra & Nagar Haveli*,2022,196.0
Daman & Diu,2022,0.0
Delhi,2022,5652.0
Ladakh,2022,374.0
Lakshadweep,2022,3.0
Puducherry,2022,1181.0
Andhra Pradesh,2023,19949.0
Arunachal Pradesh,2023,287.0
Assam,2023,7421.0
Bihar,2023,11014.0
Chhattisgarh,2023,13468.0
Goa,2023,2846.0
Gujarat,2023,16349.0
Haryana,2023,10463.0
Himachal Pradesh,2023,2253.0
Jharkhand,2023,5315.0
Karnataka,2023,43440.0
Kerala,2023,48091.0
Madhya Pradesh,2023,55327.0
Maharashtra,2023,35243.0
Manipur,2023,398.0
Meghalaya,2023,223.0
Mizoram,2023,106.0
Nagaland,2023,303.0
Odisha,2023,11992.0
Punjab,2023,6269.0
Rajasthan,2023,24694.0
Sikkim,2023,182.0
Tamil Nadu,2023,67213.0
Telangana,2023,22903.0
Tripura,2023,577.0
Uttarakhand,2023,1691.0
Uttar Pradesh,2023,44534.0
West Bengal,2023,13795.0
Andaman & Nicobar Islands,2023,143.0
Chandigarh,2023,182.0
Dadra & Nagar Haveli*,2023,182.0
Delhi,2023,5834.0
Ladakh,2023,289.0
Lakshadweep,2023,1.0
Puducherry,2023,1308.0
